golden:
return var != null && var.getScope() == s && !blacklistedVars.contains(var);
inference:
return (var!= null && var.getScope() == s &&!blacklistedVars.contains(var));
return (var!= null) && (var.getScope() == s &&!blacklistedVars.contains(var));
return (var!= null) && var.getScope() == s &&!blacklistedVars.contains(var);
return var!= null && var.getScope() == s &&!blacklistedVars.contains(var);
return var!= null && s.getScope() == s &&!blacklistedVars.contains(var);
return var!= null && var.getScope() == s ||!blacklistedVars.contains(var);
return (var!= null && var.getScope() == s &&!blacklistedVars.contains(var);
return var!= n && var.getScope() == s &&!blacklistedVars.contains(var);
return (var!= null && var.getScope() == s) &&!blacklistedVars.contains(var);

return var!= null && (var.getScope() == s &&!blacklistedVars.contains(var));
return var!= null && (var.getScope() == s &&!blacklistedVars.contains(var)));
return var!= null && var.getScope() == s &&!blacklistedVars.contains(var);
return (var!= null && var.getScope() == s &&!blacklistedVars.contains(var))
return var!= null && var.getScope() == s &&!whitelistedVars.contains(var);
return (var!= null) && (var.getScope() == s) &&!blacklistedVars.contains(var);
return(var!= null && var.getScope() == s &&!blacklistedVars.contains(var));
return var!= null && var.getScope()!= s &&!blacklistedVars.contains(var);
return var!= null && var.scope == s &&!blacklistedVars.contains(var);
return var!= null || var.getScope() == s &&!blacklistedVars.contains(var);
return Var!= null && Var.getScope() == s &&!blacklistedVars.contains(var);
return (var!= null && (var.getScope() == s &&!blacklistedVars.contains(var)));
return (var!= null && var.getScope() == s &&!blacklistedVars.contains(var));
return var!= null && var.getScope() == s &&!blacklistedVars.contains(var));
return var!= null && var.getScope() == s;
return var == null && var.getScope() == s &&!blacklistedVars.contains(var);
return &var!= null && var.getScope() == s &&!blacklistedVars.contains(var);
return var!= null && Var.getScope() == s &&!blacklistedVars.contains(var);
return var!= null && var.getScope() == s) &&!blacklistedVars.contains(var);
return var!= null && var == s &&!blacklistedVars.contains(var);
return var!= null;
return var!= null && s &&!blacklistedVars.contains(var);
return var!= null && var.getScope() == s);
return var!= null && (var.getScope() == s) &&!blacklistedVars.contains(var);
return var!= null && var!= s &&!blacklistedVars.contains(var);
return var!= null && var.getScope() == s &&!blacklistedVars.contains(var);
return var!= null && *var.getScope() == s &&!blacklistedVars.contains(var);
return var!= 0 && var.getScope() == s &&!blacklistedVars.contains(var);
return var.getScope() == s &&!blacklistedVars.contains(var);
return var!= null && var.getScope() == n &&!blacklistedVars.contains(var);
return var!= null && var.scope == s &&!blacklistedVars.contains(var);
return var!= null && var.getScope() == s &&!blacklistedVars.contains(s);
return var!= null; && var.getScope() == s &&!blacklistedVars.contains(var);
return v!= null && v.getScope() == s &&!blacklistedVars.contains(v);
return var!= null && var.GetScope() == s &&!blacklistedVars.contains(var);
return var.getScope() == s &&!blacklistedVars.contains(var.get());
return var!= null &&  var.getScope() == s &&!blacklistedVars.contains(var);
return (var)!= null && var.getScope() == s &&!blacklistedVars.contains(var);
return var!= null && var.getScope() == 0 &&!blacklistedVars.contains(var);
return (var!= null && var.getScope() == s &&!BlacklistedVars.contains(var));
return var!= s && var.getScope() == s &&!blacklistedVars.contains(var);
return var!= null && var.getScope() == s &&!BlacklistedVars.contains(var);
return &var!= null && &var.getScope() == s &&!blacklistedVars.contains(var);
return var!= null && var.getScope() == s &&!blacklistedVars.contains(var))
return const var!= null && var.getScope() == s &&!blacklistedVars.contains(var);
return var!= null && s.getScope() == s &&!blacklistedVars.contains(var);
return val!= null && val.getScope() == s &&!blacklistedVars.contains(val);
return var!= null && s.getScope() == s &&!blacklistedVars.contains(s);
